"shape","items","wbar","concordance","quadrature_nodes","curve"
"normal",,0.885,0.8946239500205,800,"matched"
"normal",,0.8925,0.898441607873461,800,"matched"
"normal",,0.9,0.902259265726422,800,"matched"
"normal",,0.9075,0.906076923579383,800,"matched"
"normal",,0.915,0.91005280979258,800,"matched"
"normal",,0.9225,0.914529733403619,800,"matched"
"normal",,0.93,0.919006657014659,800,"matched"
"normal",,0.9375,0.923483580625699,800,"matched"
"normal",,0.945,0.928446942118192,800,"matched"
"normal",,0.9525,0.933727803748009,800,"matched"
"normal",,0.96,0.939241912476494,800,"matched"
"skewed",,0.51,0.73907558293716,800,"matched"
"skewed",,0.5175,0.741542424684359,800,"matched"
"skewed",,0.525,0.744009266431557,800,"matched"
"skewed",,0.5325,0.746476108178756,800,"matched"
"skewed",,0.54,0.748942949925955,800,"matched"
"skewed",,0.5475,0.751409791673154,800,"matched"
"skewed",,0.555,0.753876633420352,800,"matched"
"skewed",,0.5625,0.756343475167551,800,"matched"
"skewed",,0.57,0.75881031691475,800,"matched"
"skewed",,0.5775,0.761277158661948,800,"matched"
"skewed",,0.585,0.763744000409147,800,"matched"
"skewed",,0.5925,0.766210842156346,800,"matched"
"skewed",,0.6,0.768677683903545,800,"matched"
"skewed",,0.6075,0.771144525650743,800,"matched"
"skewed",,0.615,0.773611367397942,800,"matched"
"skewed",,0.6225,0.776104946519778,800,"matched"
"skewed",,0.63,0.778679884655335,800,"matched"
"skewed",,0.6375,0.781254822790893,800,"matched"
"skewed",,0.645,0.78382976092645,800,"matched"
"skewed",,0.6525,0.786404699062007,800,"matched"
"skewed",,0.66,0.788979637197565,800,"matched"
"skewed",,0.6675,0.791554575333122,800,"matched"
"skewed",,0.675,0.79412951346868,800,"matched"
"skewed",,0.6825,0.796704451604237,800,"matched"
"skewed",,0.69,0.799279389739794,800,"matched"
"skewed",,0.6975,0.801854327875351,800,"matched"
"skewed",,0.705,0.804429266010909,800,"matched"
"skewed",,0.7125,0.807004204146466,800,"matched"
"skewed",,0.72,0.809579142282023,800,"matched"
"skewed",,0.7275,0.812261762060832,800,"matched"
"skewed",,0.735,0.815122964073727,800,"matched"
"skewed",,0.7425,0.817984166086622,800,"matched"
"skewed",,0.75,0.820845368099517,800,"matched"
"skewed",,0.7575,0.823706570112413,800,"matched"
"skewed",,0.765,0.826567772125308,800,"matched"
"skewed",,0.7725,0.829428974138203,800,"matched"
